Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species
2014.12.29.a,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,Fatal,Y,"White shark, 4 to 5 m"
2014.12.28.d,2014,Sea Disaster,GREECE,,33 nautical miles off Othonoi Island,,0,Bitten,N,Shark involvement prior to death still to be determined
2014.12.28.b,2014,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,Injured,N,"White shark, 8' to 10'"
2014.12.28.a,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,Injured,N,1.5 m shark
2014.12.23.R,2014,Unprovoked,JAPAN,,,Diving / Filming,M,No injury,N,Goblin shark
2014.12.15,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,M,Fatal,Y,
2014.12.03.R,2014,Provoked,SPAIN,Granada,Off Motril,Fishing for blue sharks,M,Bitten,N,
2014.11.29,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,Injured,N,
2014.11.20,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),,Fishing,M,Fatal,Y,
2014.11.19,2014,Boat,AUSTRALIA,Western Australia,Freo,Fishing,M,No injury,N,White shark
2014.11.16,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,Injured,N,2' shark
2014.11.17,2014,Boat,USA,California,"Franklin Point, San Mateo County",,0,No injury,N,White shark
2014.11.13,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,Injured,N,1.5 m shark
2014.11.10,2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,Injured,N,
2014.11.08,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,Injured,N,
2014.10.31,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,Injured,N,"Tiger shark, 12'"
2014.10.30,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,Injured,N,
2014.10.22,2014,Unprovoked,USA,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,No injury,N,Tiger shark
2014.10.20,2014,Unprovoked,USA,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,No injury,N,
2014.10.19,2014,Boat,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,No injury,N,
2014.10.18,2014,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,M,No injury,N,12' to 14' shark
2014.10.17,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,Injured,N,1 m shark
2014.10.14,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,Injured,N,"Bull shark, 3' to 4'"
2014.10.12,2014,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,Injured,N,
2014.10.07,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,Bitten,N,
2014.10.11,2014,Boat,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",Kayaking,M,No injury,N,
2014.10.05.b,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,Blacktip shark
2014.10.05.a,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,Blacktip shark
2014.10.03.b,2014,Boat,USA,California,Santa Barbara County,Kayaking,M,No injury,N,"White shark, 18' to 20'"
2014.10.03.a,2014,Boat,USA,California,Santa Barbara County,Kayaking ,M,No injury,N,White shark
2014.10.02.b,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,Injured,N,8' to 10' shark
2014.10.02.a,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,Severed,N,"2 white shark: 13' & 9""8"""
2014.09.21,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2014.09.13.R,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,F,Injured,N,Blacktip shark
2014.09.09,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,Fatal,Y,7' shark
2014.09.06,2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,Bitten,N,Bull shark
2014.09.03,2014,Unprovoked,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,F,No injury,N,"White shark, 12' to 14'"
2014.09.02,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,Bitten,N,3' to 4' shark
2014.09.00,2014,Unprovoked,SPAIN,Catalonia,Salou,Playing with an air mattress,M,Injured,N,
2014.08.31,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,Injured,N,Spinner shark
2014.08.29.b,2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Injured,N,Spinner shark or blacktip shark
2014.08.28,2014,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,Injured,N,
2014.08.27.c,2014,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,F,Injured,N,small shark
2014.08.27.b,2014,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,Injured,N,4' to 6' shark
2014.08.27.a,2014,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Standing,F,Bitten,N,
2014.08.25,2014,Provoked,USA,Florida,Apalachicola Bay ,Fishing for sharks,M,Injured,N,"Bull shark, 4.5' "
2014.08.24,2014,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,0,Injured,N,4' shark
2014.08.16,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,M,Injured,N,reef shark
2014.08.12,2014,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,Injured,N," Bull shark, 8'"
2014.08.10,2014,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",,M,Injured,N,
2014.08.09.R,2014,Unprovoked,BAHAMAS,,,Spearfishing,M,Injured,N,"Bull shark, 9' to 10'"
2014.08.09,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,Injured,N,
2014.08.08,2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,Injured,N," Bull shark, 5'"
2014.08.06,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,Injured,N,4' tp 5' shark
2014.08.05,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,Injured,N,
2014.08.02,2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,Bitten,N,
2014.08.02,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,M,Injured,N,
2014.08.01,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,Bitten,N,White shark
2014.07.27,2014,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,Bitten,N,Possibly juvenile tiger shark
2014.07.22,2014,Unprovoked,REUNION,Saint-Leu,,Surfing,M,Injured,N,1.8 metre shark
2014.07.21,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,M,Injured,N,
2014.07.20,2014,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,0,Injured,N,Angel shark
2014.07.16,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,M,Injured,N,6' to 8' shark
2014.07.14,2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,M,Injured,N,4' shark
2014.07.12,2014,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Body surfing,M,Injured,N,
2014.07.09,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2014.07.05.b,2014,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,M,Bitten,N," White shark, 7' "
2014.07.05.a,2014,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,No injury,N,
2014.07.03,2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,Bitten,N,4' to 5' shark
2014.06.27.R,2014,Boat,ST. MARTIN,,20 miles from shore,Transatlantic Rowing,M,No personal injury,N,Oceanic whitetip shark'
2014.06.25,2014,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,M,No injury,N,"Caribbean reef shark, 7' to 8'"
2014.06.18.b,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,No injury,N,
2014.06.18.a,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,Injured,N,
2014.06.17.R,2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,M,Injured,N," Lemon shark, 3.5 m"
2014.06.09.c,2014,Unprovoked,BRAZIL,,500 km off the coast of Pernambuco,Fishing,M,Severed,N,
2014.06.09.b,2014,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,Injured,N," Sandbar shark, 3' to 4'"
2014.06.09.a,2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,M,Injured,N,"Bronze whaler shark, 1.5m"
2014.06.08,2014,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,M,Bitten,N,
2014.06.07,2014,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,F,Injured,N,
2014.06.01.c,2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,F,Injured,N,Bull shark
2014.06.01.b,2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,Injured,N,
2014.06.01.a,2014,Unprovoked,USA,Palmyra Atoll,,Tagging sharks,F,Injured,N,Blacktip Reef shark 
2014.05.27.R,2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,F,Injured,N," Bull shark, 1.2m "
2014.05.23,2014,Unprovoked,FRANCE,Wallis and Futuna,Wallis Island,Scuba diving,M,Injured,N,3m shark
2014.05.22,2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,M,Injured,N," Tawney nurse shark, 1m"
2015.11.20,2015,Unprovoked,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,M,Injured,N,Galapagos shark
2014.05.15,2014,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,F,Bitten,N,
2014.05.14,2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,M,No injury,N," white shark, 15' "
2014.05.13,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,F,Injured,N,
2014.05.11,2014,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,M,Injured,N,Shark involvement not confirmed
2014.05.06,2014,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,Injured,N,4' to 5' shark
2014.05.01,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,3' shark
2014.04.24,2014,Unprovoked,AUSTRALIA,Western Australia,"South Passage, south of Coral Bay",Spearfishing,M,Injured,N,reef shark?
2014.04.22,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,Injured,N,
2014.04.15,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Injured,N,
2014.04.12.R,2014,Boat,SOUTH AFRICA,,,Shark watching,0,No injury,N,White shark
2014.04.12,2014,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,M,Injured,N," Raggedtooth shark, 2m"
2014.04.04.b,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2014.04.04.a,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2014.04.03,2014,Unprovoked,AUSTRALIA,New South Wales,Tathra,Swimming,F,Fatal,Y,3 m to 4 m white shark
2014.03.22.b,2014,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,M,Fatal,Y,2 m shark
2014.03.22.a,2014,Unprovoked,USA,Florida,Delray Beach,Kite Surfing,M,Injured,N,4' to 5' shark
2014.03.21,2014,Unprovoked,USA,Florida,Macarthur State Park,Surfing,M,Injured,N,
2014.03.18.c,2014,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,,Kite Surfing,M,Injured,N,
2014.03.18.b,2014,Unprovoked,AUSTRALIA,Victoria,Winkipop Beach,Surfing,M,Injured,N,
2014.03.12,2014,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Swimming,M,Injured,N,Wobbegong shark
2014.03.02,2014,Unprovoked,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,M,Injured,N,Blacktip or spinner shark?
2014.02.20,2014,Unprovoked,FRENCH POLYNESIA,Society Islands,Huahine,Kitesurfing,M,Injured,N,Blacktip reef shark 
2014.02.17,2014,Boat,PAPUA NEW GUINEA,,,Sailing,M,No injury,N,
2014.02.08,2014,Unprovoked,AUSTRALIA,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,M,Fatal,Y,
2014.02.07.b,2014,Provoked,TRINIDAD & TOBAGO,Trinidad,,Fishing,M,Unknown,N,
2014.02.07,2014,Unprovoked,NEW ZEALAND,South Island,Porpoise Bay,Surfing,M,Injured,N,7-gill shark?
2014.01.26,2014,Provoked,AUSTRALIA,New South Wales,Umina Beach,Fishing,M,Injured,N,1m shark
2014.01.25,2014,Unprovoked,NEW ZEALAND,South Island,Garden Bay near Cosy Nook,Spearfishing,M,Injured,N,7-gill shark
2014.01.04,2014,Sea Disaster,JAPAN,Okinawa Prefecture,Off Miyako Island,Sea disaster,M,Bitten,N,
2014.00.00,2014,Boat,NEW ZEALAND,,Stewart Island,Filming a documentary,0,No injury,N,"White shark, 6 m"
2013.12.25,2013,Unprovoked,NEW CALEDONIA,North Province,"Lindéralique, Hienghène",Snorkeling,M,Bitten,N,Reported to involve a bull shark
2013.12.16,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Die Platt,Surfing,M,Injured,N,"White shark, 3m "
2013.12.13,2013,Unprovoked,KIRIBATI,740 miles SE of Tarawa Atoll,,Attempting to remove fishing net from submerged object,M,Severed,N,
2013.12.11,2013,Unprovoked,USA,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,M,Injured,N,"Tiger shark, 10' to 12'"
2013.12.10,2013,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,Bitten,N,4' to 6' shark
2013.12.05,2013,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,Injured,N," Wobbegong shark, 1.6 to 1.8m "
2013.12.02,2013,Unprovoked,USA,Hawaii,"Between  Makena & Molokini, Maui",Kayaking / Fishing,M,Fatal,Y,
2013.11.30,2013,Unprovoked,AUSTRALIA,New South Wales,"Riecks Point,  Campbells Beach, ",Body boarding,M,Fatal,Y,"Tiger shark, 3m "
2013.11.29,2013,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,F,Bitten,N,
2013.11.23.a,2013,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,Fatal,Y,Thought to involve a white shark
2013.11.22,2013,Unprovoked,USA,Oregon,"Gleneden Beach, Lincoln County",Surfing,M,No injury,N,"White shark, 10 '"
2013.11.12,2013,Unprovoked,AUSTRALIA,Western Australia,"Trigg Beach, Perth",Surfing,M,No injury,N,Reported to involve a white shark
2013.11.10,2013,Provoked,BAHAMAS,,Off Cape Eleuthera,Shark fishing,M,Injured,N,
2013.11.07.b,2013,Unprovoked,USA,New Jersey,"Bay Head, Ocean County",Body boarding,M,No injury,N,
2013.11.07.a,2013,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,Bitten,N,
2013.10.31,2013,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Kiteboarding,M,Severed,N,Tiger shark
2013.10.28,2013,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,Snorkeling,F,Injured,N,"Blacktip reef shark, 1m"
2013.10.26.b,2013,Unprovoked,REUNION,dÉtang-Salé,Ravine Mula,Body boarding,M,Severed,N,Thought to involve a bull shark
2013.10.26.a,2013,Unprovoked,AUSTRALIA,Western Australia,"Little Island, near Hillarys",Diving for crayfish,M,No injury,N,Reported to involve a 4 m white shark
2013.10.24,2013,Unprovoked,AUSTRALIA,New South Wales,South Narrabeen Beach,Surfing,M,Injured,N,Wobbegong shark
2013.10.23,2013,Unprovoked,USA,Hawaii,"Waiehu, Maui",Diving ,M,Injured,N,"Whitetip reef shark, 4' to 6'"
2013.10.20,2013,Unprovoked,USA,Hawaii,"Pila'a Beach, Kaua'i",Surfing,M,No injury,N,Tiger shark
2013.10.19,2013,Unprovoked,USA,Florida,Miami Beach,Wading,M,Bitten,N,Nurse shark?
2013.10.11,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,M,Fatal,Y,White shark
2013.10.08,2013,Unprovoked,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,M,Injured,N,White shark
2013.10.05,2013,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,Injured,N,"White shark, 8' to 10'"
2013.10.05,2013,Unprovoked,USA,Florida,"Destin, Okaloosa County",Wading,M,Injured,N,Small bull shark
2013.09.29.b,2013,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,Injured,N,
2013.09.29.a,2013,Provoked,ISRAEL,Southern District,Ashdod,Diving,M,Bitten,N,
2013.09.25,2013,Unprovoked,USA,Florida,"Panama City, Bay County",Standing,M,Injured,N,
2013.09.21.b,2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,Injured,N,
2013.09.21.a,2013,Unprovoked,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,M,Injured,N,
2013.09.14,2013,Unprovoked,USA,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,M,Injured,N,Bull shark
2013.09.12,2013,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,F,Bitten,N,3' shark
2013.09.08,2013,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",,F,Unknown,0,
2013.09.07.b,2013,Provoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,M,Bitten,N,3' shark
2013.09.07.a,2013,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Standing,M,Bitten,N,3' shark
2013.09.02,2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,Bitten,N,
2013.09.01.c,2013,Provoked,USA,Florida,Key West Aquarium,,M,Bitten,N,Nurse shark
2013.09.01.b,2013,Unprovoked,BAHAMAS,,,,M,Injured,N,
2013.09.01.a,2013,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Casting a net,M,Injured,N,4' shark
2013.08.31.b,2013,Unprovoked,BAHAMAS,,Freetown Beach,Spearfishing,M,Bitten,N,Blacktip shark
2013.08.31.a,2013,Unprovoked,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,M,Bitten,N,Salmon shark
2013.08.26,2013,Provoked,FRANCE,Bay of Biscay,,Longline fishing for sharks,M,Injured,N,"Mako shark, 5'"
2013.08.25.b,2013,Unprovoked,USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,F,Injured,N,
2013.08.25,2013,Unprovoked,AUSTRALIA,New South Wales,Smiths,Wrangling a shark,M,Injured,N,
2013.08.18,2013,Unprovoked,USA,Hawaii,Pohoiki ,Surfing,M,Injured,N,
2013.08.17,2013,Unprovoked,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,F,No injury,N,White shark
2013.08.14,2013,Unprovoked,USA,Hawaii,"Makenat, Maui",Snorkeling,F,Fatal,Y,Tiger shark?
2013.08.13,2013,Unprovoked,USA,Hawaii,"Ka'a Point, Maui",Kiteboarding,F,No injury,N,
2013.08.11,2013,Unprovoked,USA,South Carolina,Folly Beach,Surfing,M,No injury,N,"Bull shark, 8'"
2013.08.08.R,2013,Unprovoked,SOUTH AFRICA,,,Attempting to free the shark,M,Unknown,N,Blacktip shark
2013.08.05,2013,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Fishing,M,Injured,N,"Bull shark, 6' to 8'"
2013.07.31,2013,Unprovoked,USA,Hawaii,"Ulua Beach, Maui",Snorkeling,F,Injured,N,
2013.07.30,2013,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,Bitten,N,
2013.07.29.c,2013,Unprovoked,BAHAMAS,Abaco Islands,Scotland Cay,Spearfishing,M,Bitten,N,6' shark
2013.07.29.b,2013,Unprovoked,MEXICO,Quintana Roo,,Wading,F,Bitten,N,
2013.07.29.a,2013,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Surfing,M,Bitten,N,"Tiger shark, 8' to 10' "
2013.07.28.b,2013,Unprovoked,BAHAMAS,Exuma Islands,Compass Cay,Cleaning fish,M,Bitten,N,Nurse shark
2013.07.28.a,2013,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Diving,M,Bitten,N,
2013.07.22,2013,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,F,Fatal,Y,
2013.07.19,2013,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Walking in surf,F,Injured,N,
2013.07.17.R,2013,Unprovoked,USA,Florida,"Butler Beach, St Augustine,       St. Johns County",Swimming ,M,Injured,N,
2013.07.15,2013,Unprovoked,REUNION,Saint-Paul,Le cimetière marin,Swimming & snorkeling,F,Fatal,Y,
2013.07.14,2013,Unprovoked,DIEGO GARCIA,,,Swimming,M,Fatal,Y,
2013.07.11,2013,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Wading,F,Bitten,N,
2013.07.02,2013,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Body surfing,M,No injury,N,
2013.06.30,2013,Unprovoked,TAIWAN,Taitung ,,Fishing,M,Bitten,N,
2013.06.25.c,2013,Unprovoked,USA,California,"Pacific State , San Mateo County",Kayaking / Fishing,M,No injury,N,White shark
2013.06.25.b,2013,Unprovoked,USA,Florida,"Jacksonville, Duval County",Swimming,M,Injured,N,"Possibly a Bull shark, 3'"
2013.06.25.a,2013,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,M,Bitten,N,4' to 5' shark
2013.06.18,2013,Unprovoked,USA,Hawaii,Kona Coast State Park,Swimming,M,Bitten,N,"Tiger shark, 14'"
2013.06.17,2013,Unprovoked,USA,Texas,"Surfside Beach, Brazoria County",Swimming,M,Bitten,N,
2013.06.16,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,M,Injured,N,
2013.06.15,2013,Unprovoked,USA,Florida,"Atlantic Beach, Duval County",Surfing,F,Injured,N,
2013.06.14.R,2013,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,F,Injured,N,4' to 5' shark
2013.06.06.b,2013,Provoked,USA,Florida,"Off Snipe Point, Florida Keys, Monroe County",Fishing for sharks,M,Bitten,N,"Lemon shark, 4'"
2013.06.06.a,2013,Unprovoked,AUSTRALIA,New South Wales,Target Beach,Surfing,M,No injury,N,6' shark
2013.05.27.b,2013,Unprovoked,USA,Hawaii,"Halewia, Oahu",Diving,M,Injured,N,Galapagos shark
2013.05.27.a,2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,Bitten,N,
2013.05.23.b,2013,Unprovoked,BRAZIL,Pernambuco,Coral Cove Beach,,M,Fatal,Y,
2013.05.23.a,2013,Provoked,PALESTINIAN TERRITORIES,,Gaza,Fishing,M,Severed,N,
2013.05.14,2013,Unprovoked,ECUADOR,Santa Cruz Island,"Playa Brava, Turtle Bay",Surfing,M,Injured,N,Galapagos shark
2013.05.08.a,2013,Unprovoked,REUNION,Saint-Gilles,Brisant Beach,Body boarding,M,Fatal,Y,Bull shark
2013.05.04.a,2013,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,Injured,N,a small shark
2013.04.28,2013,Provoked,AUSTRALIA,New South Wales,Emerald Beach,Fishing,M,Bitten,N,"Wobbegong, 2m"
2013.04.24,2013,Unprovoked,MEXICO,Quintana Roo,"Seagull Beach, Cancun",Swimming,F,Injured,N,Tiger shark
2013.04.21,2013,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Fishing,M,Injured,N,"Grey nurse shark, 3m"
2013.04.17,2013,Unprovoked,USA,Florida,"Near Boynton Beach, Palm Beach County",Playing in the surf,M,Injured,N,3' shark
2013.04.14,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,False Bay,Free diving,M,Injured,N,Blue shark
2013.04.13.b,2013,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,Bull shark
